COUNT;Geo Local Area;Geom
12;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.082665829077, 49.2529918510123]}"
2;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.082417051717, 49.2627157742084]}"
1;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.065357182901, 49.2241586914691]}"
4;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.091078840113, 49.2285038249232]}"
21;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.170800252596, 49.2638482274214]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.0746116955, 49.2661098593002]}"
5;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.121010921796, 49.280193481255]}"
1;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.12776978565, 49.2028981547402]}"
1;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.123862718172, 49.206849565709]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.071727983126, 49.2819434510026]}"
7;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.087886762, 49.281411263124]}"
7;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.112667861704, 49.262869707956]}"
2;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.105551660673, 49.2685524729351]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.094992682337, 49.2815431942435]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.095204571194, 49.2815470586946]}"
5;West End;"{""type"": ""Point"", ""coordinates"": [-123.140174022991, 49.288584921037]}"
1;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.090570936327, 49.2512512045651]}"
4;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.102501116554, 49.2634603999164]}"
2;West End;"{""type"": ""Point"", ""coordinates"": [-123.130963659672, 49.2798295327485]}"
4;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.123393244972, 49.2786038248942]}"
4;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.090277229976, 49.2288498811355]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.12556225589, 49.2765356451055]}"
8;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.130086240298, 49.2631449502649]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.153432172135, 49.2625945574342]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.124843842576, 49.2789867028627]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.073771673591, 49.2756486049575]}"
7;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.078279634248, 49.2825044192551]}"
5;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.102001470056, 49.2816808099321]}"
6;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.090238820778, 49.2303849340241]}"
6;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.090234175581, 49.2304739906996]}"
5;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.125295396005, 49.2630711680528]}"
17;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.099356001476, 49.27618689695]}"
6;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.207835610758, 49.2635370358037]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069089712525, 49.2800025589829]}"
1;Oakridge;"{""type"": ""Point"", ""coordinates"": [-123.125991228508, 49.2334437997793]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.068621548143, 49.2844086119769]}"
1;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.210289523706, 49.2635543460339]}"
14;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.082244842393, 49.2803255247835]}"
2;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.048326674767, 49.2370617708369]}"
1;West End;"{""type"": ""Point"", ""coordinates"": [-123.134965726337, 49.2852142623962]}"
2;South Cambie;"{""type"": ""Point"", ""coordinates"": [-123.115502458618, 49.2554859227432]}"
